,msa,base,action_x,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_cont,direct,indirect,total,ea_emp,ch_as_perc,13
479,"Tucson, AZ Metropolitan Statistical Area","Allen Hall Armed Forces Reserve Center, Tucson","Allen Hall Armed Forces Reserve Center, Tucson",Close,(60),0,0,0,(60),0,0,(60),(52),(112),"448,946",0.0%
480,"Tulsa, OK Metropolitan Statistical Area",Armed Forces Reserve Center Broken Arrow,Armed Forces Reserve Center Broken Arrow,Close,(26),0,32,0,6,0,0,6,2,8,"533,659",0.0%
481,,Navy-Marine Corps Reserve Center Tulsa,Navy-Marine Corps Reserve Center Tulsa,Close,(32),0,0,0,(32),0,0,(32),(11),(43),"533,659",0.0%
482,,Tulsa International Airport Air Guard Station,Tulsa International Airport Air Guard Station,Gain,0,0,22,81,22,81,0,103,83,186,"533,659",0.0%
483,"Tuscaloosa, AL Metropolitan Statistical Area",Navy Reserve Center Tuscaloosa AL,Navy Reserve Center Tuscaloosa AL,Close,(7),0,0,0,(7),0,0,(7),(2),(9),"104,345",0.0%
484,"Tuskegee, AL Micropolitan Statistical Area",Abbott U.S. Army Reserve Center Tuskegee,Abbott U.S. Army Reserve Center Tuskegee,Close,(2),(1),0,0,(2),(1),0,(3),(1),(4),"8,256",0.0%
485,," (290) 0 0 0 (290) 0 (290) (274) (564) 158,421 -0.4% Service, Rome Rome Laboratory"," Service, Rome Rome Laboratory",Realign,(13),(124),0,0,(13),(124),0,(137),(122),(259),"158,421",-0.2%
486,"Valdosta, GA Metropolitan Statistical Area",Moody Air Force Base,Moody Air Force Base,Gain,(604),(145),"1,274",50,670,(95),0,575,416,991,"65,992",1.5%
487,"Vicksburg, MS Micropolitan Statistical Area",U.S. Army Reserve Center Vicksburg,U.S. Army Reserve Center Vicksburg,Close,(26),(2),0,0,(26),(2),0,(28),(15),(43),"29,916",-0.1%
488,,Fort Monroe,Fort Monroe,Close,"(1,393)","(1,948)",0,0,"(1,393)","(1,948)",(223),"(3,564)","(4,418)","(7,982)","978,888",-0.8%
489,,Langley Air Force Base,Langley Air Force Base,Gain,(53),(46),780,68,727,22,0,749,796,"1,545","978,888",0.2%
490,,Naval Amphibious Base Little Creek,Naval Amphibious Base Little Creek,Gain,0,0,10,27,10,27,0,37,48,85,"978,888",0.0%
491,,Naval Shipyard Norfolk,Naval Shipyard Norfolk,Gain,0,0,177,"1,774",177,"1,774",85,"2,036","2,744","4,780","978,888",0.5%
492,,Naval Station Norfolk,Naval Station Norfolk,Gain,(373),"(1,085)","3,820",356,"3,447",(729),89,"2,807","2,716","5,523","978,888",0.6%
493,,Naval Support Activity Norfolk,Naval Support Activity Norfolk,Gain,(6),0,573,205,567,205,16,788,899,"1,687","978,888",0.2%
494,,Fort Eustis,Fort Eustis,Realign,"(3,863)",(852),962,"1,432","(2,901)",580,169,"(2,152)","(2,066)","(4,218)","978,888",-0.4%
495,,Naval Air Station Oceana,Naval Air Station Oceana,Realign,(110),(3),0,53,(110),50,0,(60),(46),(106),"978,888",0.0%
496,,Naval Medical Center Portsmouth,Naval Medical Center Portsmouth,Realign,(463),(25),28,0,(435),(25),(1),(461),(494),(955),"978,888",-0.1%
497,,Naval Weapons Station Yorktown,Naval Weapons Station Yorktown,Realign,0,(179),0,0,0,(179),0,(179),(248),(427),"978,888",0.0%
498,"Warner Robins, GA Metropolitan Statistical Area",Robins Air Force Base,Robins Air Force Base,Gain,(484),(225),453,224,(31),(1),781,749,445,"1,194","65,130",1.8%
499,"Warren-Farmington Hills-Troy, MI Metropolitan Division",Selfridge Army Activity,Selfridge Army Activity,Close,(126),(174),0,0,(126),(174),0,(300),(180),(480),"1,505,252",0.0%
500,,Selfridge Air National Guard Base,Selfridge Air National Guard Base,Gain,(3),(76),72,167,69,91,(76),84,51,135,"1,505,252",0.0%
501,"Warrensburg, MO Micropolitan Statistical Area",Whiteman Air Force Base,Whiteman Air Force Base,Gain,0,0,3,58,3,58,0,61,49,110,"28,670",0.4%
502,,Navy Reserve Center Adelphi,Navy Reserve Center Adelphi,Close,(17),0,0,0,(17),0,0,(17),(10),(27),"2,771,791",0.0%
503,,Leased Space - DC,Leased Space - DC,Close/Realign,(103),(68),0,79,(103),11,0,(92),(56),(148),"2,771,791",0.0%
504,,Andrews Air Force Base,Andrews Air Force Base,Gain,(416),(189),607,489,191,300,(91),400,286,686,"2,771,791",0.0%
505,,Fort Belvoir,Fort Belvoir,Gain,(466),"(2,281)","4,537","8,010","4,071","5,729","2,058","11,858","8,250","20,108","2,771,791",0.7%
506,,"Headquarters Battalion,","Headquarters Battalion,",Gain,(52),(22),453,206,401,184,81,666,443,"1,109","2,771,791",0.0%
507,,"52) (22) 453 206 401 184 81 666 443 1,109 2,771,791 0.0% Headquarters Marine Corps, Marine Corps Base Quantico"," Headquarters Marine Corps, Marine Corps Base Quantico",Gain,(50),0,496,"1,357",446,"1,357","1,210","3,013","2,108","5,121","2,771,791",0.2%
508,,Arlington Service Center,Arlington Service Center,Realign,(224),(516),435,406,211,(110),(383),(282),(205),(487),"2,771,791",0.0%
509,,Bolling Air Force Base,Bolling Air Force Base,Realign,(96),(242),0,0,(96),(242),(61),(399),(283),(682),"2,771,791",0.0%
510,,Center for Naval Research,Center for Naval Research,Realign,(25),(313),0,0,(25),(313),0,(338),(252),(590),"2,771,791",0.0%
511,,"Defense Finance and Accounting Service, Arlington","Defense Finance and Accounting Service, Arlington",Realign,(7),(401),0,0,(7),(401),0,(408),(308),(716),"2,771,791",0.0%
512,,Naval Air Facility Washington,Naval Air Facility Washington,Realign,(9),(9),0,0,(9),(9),0,(18),(12),(30),"2,771,791",0.0%
513,,Naval District Washington,Naval District Washington,Realign,(108),(845),28,522,(80),(323),40,(363),(268),(631),"2,771,791",0.0%
514,,Naval Surface Warfare Center Indian Head,Naval Surface Warfare Center Indian Head,Realign,0,(137),0,42,0,(95),0,(95),(71),(166),"2,771,791",0.0%
515,,Potomac Annex,Potomac Annex,Realign,(4),(5),0,0,(4),(5),(3),(12),(8),(20),"2,771,791",0.0%
516,,U.S. Marine Corps Direct Reporting Program Manager,U.S. Marine Corps Direct Reporting Program Manager,Realign,0,(32),0,0,0,(32),0,(32),(24),(56),"2,771,791",0.0%
517,,Walter Reed Army Medical Center,Walter Reed Army Medical Center,Realign,"(2,679)","(2,388)",28,31,"(2,651)","(2,357)",(622),"(5,630)","(3,856)","(9,486)","2,771,791",-0.3%
518,"Watertown-Fort Drum, NY Micropolitan Statistical Area",Navy Reserve Center Watertown,Navy Reserve Center Watertown,Close,(9),0,0,0,(9),0,0,(9),(5),(14),"62,390",0.0%
519,"Wichita Falls, TX Metropolitan Statistical Area",Sheppard Air Force Base,Sheppard Air Force Base,Realign,"(2,519)",(158),51,2,"(2,468)",(156),0,"(2,624)","(1,744)","(4,368)","93,033",-4.7%
520,"Wichita, KS Metropolitan Statistical Area",McConnell Air Force Base,McConnell Air Force Base,Gain,(27),(183),704,28,677,(155),0,522,308,830,"364,878",0.2%
521,,U.S. Army Reserve Center Wichita,U.S. Army Reserve Center Wichita,Realign,(22),(56),0,0,(22),(56),0,(78),(76),(154),"364,878",0.0%
522,"Williamsport, PA Metropolitan Statistical Area",U.S. Army Reserve Center Williamsport,U.S. Army Reserve Center Williamsport,Close,(25),(4),0,0,(25),(4),0,(29),(16),(45),"67,466",-0.1%
523,,"Kirkwood U.S. Army Reserve Center, Newark","Kirkwood U.S. Army Reserve Center, Newark",Close,(7),(2),0,0,(7),(2),0,(9),(4),(13),"405,766",0.0%
524,,New Castle County Airport Air Guard Station,New Castle County Airport Air Guard Station,Realign,(47),(101),0,0,(47),(101),0,(148),(101),(249),"405,766",-0.1%
525,,Youngstown-Warren Regional Airport,Youngstown-Warren Regional Airport,Gain,0,0,0,8,0,8,0,8,7,15,"307,480",0.0%
526,"Yuba City, CA Metropolitan Statistical Area",Beale Air Force Base,Beale Air Force Base,Realign,(8),(171),0,0,(8),(171),0,(179),(132),(311),"68,256",-0.5%
527,"Yuma, AZ Metropolitan Statistical Area",Marine Corps Air Station Yuma,Marine Corps Air Station Yuma,Gain,0,0,0,5,0,5,0,5,4,9,"76,606",0.0%
